Date de modification de la donnée;IDENT PARKING;Nom du parking;Propriétaire;Titulaire du contrat;Exploitant;Type de gestion;Secteur;INSEE Commune;Commune;IDENT EQUIPEMENT PUBLIC;Année de mise en service;Type de construction;Nombre de niveaux;Places Hors gabarit < 3.5T;Places Hors gabarit > 3.5T;Nombre de places utilisées en fourrière;Potentiel global : Parking + Parc Relais + Fourrière;Total de places en Parking ou Parc Relais;Dont max de places utilisées en parc-relais;Dont places PMR;Dont places VL électrique;Dont places Autopartage ou Autocool ou Citiz;Dont Covoiturage;Et dont places pour station de lavage;Places 2 roues à moteur;Dont 2 roues à moteur électrique;Total places vélo;Dont Places vélo électrique
2023-06-29;CUBPK44;PARC-RELAIS BRANDENBURG - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33063;BORDEAUX;063J1143;2009;SURFACE;1;0;0;0;211;211;211;6;0;0;5;0;20;0;20;0
2024-04-04;CUBPK96;Parking gratuit GARE PAREMPUYRE;BORDEAUX_METROPOLE;BORDEAUX_METROPOLE;BORDEAUX_METROPOLE;AUTRE;PERIPHERIE;33312;PAREMPUYRE;Apreciser96;2009;SURFACE;0;0;0;0;151;151;0;4;2;0;10;0;0;0;12;0
2023-02-22;CUBPK13;AEROPORT PR EXPRESS - Indigo park;AEROPORT_DE_BORDEAUX;INDIGO_PARK;INDIGO_PARK;CONCESSION_DE_SERVICE;PERIPHERIE;33281;MERIGNAC;281J0572;2008;SURFACE;1;0;0;0;108;108;0;2;0;0;0;0;0;0;0;0
2023-06-29;CUBPK50;PARC-RELAIS LA GARDETTE SUD - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33249;LORMONT;249J0002;2008;SURFACE;1;0;0;0;151;151;151;4;0;0;5;0;36;0;0;0
2024-06-28;CUBPK14;BORD'EAU VILLAGE - Qpark;AUTRE;Q_PARK;Q_PARK;GESTION_PRIVEE;CENTRE;33063;BORDEAUX;063J2499;2005;SILO;4;0;0;0;540;540;0;23;10;0;0;0;10;0;90;0
2023-11-07;CUBPK02;BOURSE - JAURES - Indigo TPS;BORDEAUX_METROPOLE;BP3000;INDIGO_TPS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;HYPER_CENTRE;33063;BORDEAUX;063J0015;2004;ENTERRE;7;20;0;0;1661;1661;0;34;5;0;0;3;44;0;60;0
2023-06-29;CUBPK55;PARC-RELAIS STALINGRAD - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33063;BORDEAUX;063J1081;2004;SURFACE;1;0;0;0;214;214;214;6;0;0;5;0;20;0;20;0
2024-04-17;CUBPK32;LHOTE - Metpark;BORDEAUX_METROPOLE;METPARK;METPARK;REGIE_AUTONOME;HYPER_CENTRE;33063;BORDEAUX;063J1139;2004;SILO;4;0;0;0;111;111;0;5;0;0;0;0;0;0;32;0
2023-06-29;CUBPK48;PARC-RELAIS GALIN - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;CENTRE;33063;BORDEAUX;063J1082;2003;SURFACE;1;0;0;0;279;279;279;8;0;0;5;0;36;0;36;0
2024-01-16;CUBPK102;Gare Saint Jean ARRET MINUTE P2 SUD - Metpark;SNCF;METPARK;METPARK;CONCESSION_DE_SERVICE;CENTRE;33063;BORDEAUX;Apreciser102;1990;ENTERRE;1;;;0;104;104;0;4;0;0;0;0;0;0;0;0
