Geo Point;Geo Shape;gid;geom_err;typologie;cdate;mdate;nom_commune;code_commune
44.8652422699639, -0.5601425904278289;"{""coordinates"": [[[-0.5601132, 44.8652344], [-0.5601546, 44.8652619], [-0.5601722, 44.8652489], [-0.5601286, 44.8652228], [-0.5601132, 44.8652344]]], ""type"": ""Polygon""}";720386;;VTS;2022-09-05T12:48:24+02:00;2022-09-05T12:48:46+02:00;Bordeaux;33063
44.86517438981457, -0.5595296271464978;"{""coordinates"": [[[-0.5595549, 44.8651778], [-0.5595234, 44.8651568], [-0.5595042, 44.8651703], [-0.5595358, 44.8651923], [-0.5595549, 44.8651778]]], ""type"": ""Polygon""}";78367;;VTS;2009-12-02T00:00:00+01:00;2022-05-03T12:19:05+02:00;Bordeaux;33063
44.781017493090815, -0.65083540084517;"{""coordinates"": [[[-0.6508182, 44.7810389], [-0.6508666, 44.7810095], [-0.6508519, 44.7809961], [-0.6508043, 44.7810258], [-0.6508182, 44.7810389]]], ""type"": ""Polygon""}";749227;;VTS;2022-11-22T14:26:06+01:00;2023-10-05T11:44:42+02:00;Pessac;33318
44.800239612127214, -0.6422184370896752;"{""coordinates"": [[[-0.6421921, 44.8002603], [-0.6422558, 44.8002348], [-0.642245, 44.800219], [-0.6421812, 44.8002442], [-0.6421921, 44.8002603]]], ""type"": ""Polygon""}";749352;;VTS;2022-11-22T14:39:47+01:00;2022-11-22T14:40:14+01:00;Pessac;33318
44.8022425505934, -0.647711890067135;"{""coordinates"": [[[-0.647724, 44.8022191], [-0.647699, 44.8022195], [-0.6476995, 44.8022657], [-0.647725, 44.8022656], [-0.647724, 44.8022191]]], ""type"": ""Polygon""}";749933;;VTS;2022-11-22T16:05:19+01:00;2022-11-22T16:05:46+01:00;Pessac;33318
44.7985486408792, -0.6646549400485331;"{""coordinates"": [[[-0.6646678, 44.7985256], [-0.664641, 44.7985244], [-0.6646423, 44.7985719], [-0.6646687, 44.7985729], [-0.6646678, 44.7985256]]], ""type"": ""Polygon""}";749804;;VTS;2022-11-22T15:46:21+01:00;2022-11-22T15:46:36+01:00;Pessac;33318
44.81205433362268, -0.6645097714160241;"{""coordinates"": [[[-0.6645426, 44.8120536], [-0.6645352, 44.812039], [-0.6644767, 44.8120552], [-0.6644845, 44.8120696], [-0.6645426, 44.8120536]]], ""type"": ""Polygon""}";749867;;VT;2022-11-22T15:57:20+01:00;2022-11-22T15:57:49+01:00;Pessac;33318
44.79948240247007, -0.6686326650144738;"{""coordinates"": [[[-0.6686141, 44.7994761], [-0.668612, 44.7994774], [-0.6686306, 44.7994938], [-0.6686566, 44.7994773], [-0.6686141, 44.7994761]]], ""type"": ""Polygon""}";749834;;VT;2022-11-22T15:52:35+01:00;2022-11-22T15:52:56+01:00;Pessac;33318
44.85924793672354, -0.5815892742666823;"{""coordinates"": [[[-0.5816076, 44.8592283], [-0.5815566, 44.8592535], [-0.5815694, 44.8592674], [-0.581622, 44.8592432], [-0.5816076, 44.8592283]]], ""type"": ""Polygon""}";77303;;VT;2007-10-15T00:00:00+02:00;2022-05-03T15:17:42+02:00;Bordeaux;33063
44.84361806779386, -0.5425704138401458;"{""coordinates"": [[[-0.5425895, 44.8435981], [-0.5425376, 44.8436238], [-0.5425518, 44.8436379], [-0.5426029, 44.8436125], [-0.5425895, 44.8435981]]], ""type"": ""Polygon""}";79878;;VT;2009-01-16T00:00:00+01:00;2022-05-03T12:43:05+02:00;Bordeaux;33063
