Geo Point;Geo Shape;gid;ident;type;zone;comptage_5m;cdate;mdate;commune;CODE_COMMUNE
44.7973367, -0.6656195;"{""coordinates"": [-0.6656195, 44.7973367], ""type"": ""Point""}";254;Z27CT11;BOUCLE;27;57;2012-11-16T16:24:04+01:00;2024-10-01T16:25:00+02:00;Pessac;33318
44.879945, -0.5181813;"{""coordinates"": [-0.5181813, 44.879945], ""type"": ""Point""}";256;Z22CT12;BOUCLE;22;19;2012-11-16T16:33:00+01:00;2024-10-01T09:50:00+02:00;Lormont;33249
44.8667967, -0.5091879;"{""coordinates"": [-0.5091879, 44.8667967], ""type"": ""Point""}";259;Z22CT13;BOUCLE;22;0;2012-11-16T16:41:12+01:00;2024-10-01T09:50:00+02:00;Cenon;33119
44.8651928, -0.5158591;"{""coordinates"": [-0.5158591, 44.8651928], ""type"": ""Point""}";261;Z22CT8;BOUCLE;22;0;2012-11-16T16:43:40+01:00;2024-10-01T09:50:00+02:00;Lormont;33249
44.8781007, -0.5184823;"{""coordinates"": [-0.5184823, 44.8781007], ""type"": ""Point""}";263;Z2201CT3;BOUCLE;22;0;2012-11-16T17:06:20+01:00;2024-10-01T09:50:00+02:00;Lormont;33249
44.8444615, -0.5798276;"{""coordinates"": [-0.5798276, 44.8444615], ""type"": ""Point""}";270;Z4CT4;BOUCLE;4;;2012-11-28T10:56:08+01:00;2012-11-28T10:56:20+01:00;Bordeaux;33063
44.8308671, -0.5554624;"{""coordinates"": [-0.5554624, 44.8308671], ""type"": ""Point""}";274;Z5CT18;BOUCLE;5;0;2012-11-28T13:59:28+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8309281, -0.5555509;"{""coordinates"": [-0.5555509, 44.8309281], ""type"": ""Point""}";275;Z5CT17;BOUCLE;5;0;2012-11-28T14:00:08+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.840426, -0.561341;"{""coordinates"": [-0.561341, 44.840426], ""type"": ""Point""}";278;Z8CT14;BOUCLE;8;24;2012-11-28T14:05:52+01:00;2024-10-01T09:50:00+02:00;Bordeaux;33063
44.854952, -0.5360485;"{""coordinates"": [-0.5360485, 44.854952], ""type"": ""Point""}";286;Z8CT6;BOUCLE;8;7;2012-11-28T14:26:40+01:00;2024-10-01T09:50:00+02:00;Cenon;33119
44.8536719, -0.5378068;"{""coordinates"": [-0.5378068, 44.8536719], ""type"": ""Point""}";287;Z8CT9;BOUCLE;8;26;2012-11-28T14:28:56+01:00;2024-10-01T09:50:00+02:00;Cenon;33119
44.8510566, -0.5379822;"{""coordinates"": [-0.5379822, 44.8510566], ""type"": ""Point""}";292;Z8CT11;BOUCLE;8;0;2012-11-29T07:46:52+01:00;2024-10-01T09:50:00+02:00;Cenon;33119
44.8833449, -0.5714202;"{""coordinates"": [-0.5714202, 44.8833449], ""type"": ""Point""}";301;Z25CT8;BOUCLE;25;;2012-11-29T13:12:24+01:00;2012-11-29T13:12:40+01:00;Bordeaux;33063
